entity_id,entity_name,year,tot_n,freq_hot,freq_warm,freq_cold,median_seconds,tot_n_empty,freq_hot_empty,freq_warm_empty,freq_cold_empty,median_seconds_empty,tot_n_onbase,freq_hot_onbase,freq_warm_onbase,freq_cold_onbase,median_seconds_onbase,team_name,game_type,is_qualified
670912,"Oviedo, Johan",2022,437,0.20137299771167047,0.7597254004576659,0.038901601830663615,18.999,269.0,0.3271375464684015,0.6468401486988847,0.026022304832713755,16.518,168.0,0.0,0.9404761904761905,0.05952380952380952,23.035,MLB,Regular,
670912,"Oviedo, Johan",2020,213,0.2347417840375587,0.7511737089201878,0.014084507042253521,18.478,120.0,0.4166666666666667,0.575,0.008333333333333333,15.457,93.0,0.0,0.978494623655914,0.021505376344086023,22.619,STL,Regular,
663978,"Paddack, Chris",2021,817,0.17380660954712362,0.7417380660954712,0.08445532435740515,19.447,576.0,0.2465277777777778,0.7413194444444444,0.012152777777777778,17.262,241.0,0.0,0.7427385892116183,0.2572614107883817,26.411,SD,Regular,
663978,"Paddack, Chris",2020,444,0.19369369369369369,0.7725225225225225,0.033783783783783786,18.687,292.0,0.2945205479452055,0.6952054794520548,0.010273972602739725,16.42,152.0,0.0,0.9210526315789473,0.07894736842105263,23.488,SD,Regular,
663978,"Paddack, Chris",2024,632,0.3876582278481013,0.6107594936708861,0.0015822784810126582,16.269,408.0,0.6004901960784313,0.39950980392156865,0.0,14.58,224.0,0.0,0.9955357142857143,0.004464285714285714,19.944,MIN,Regular,
641941,"Pagán, Emilio",2022,460,0.0,0.8369565217391305,0.16304347826086957,25.069,261.0,0.0,0.8773946360153256,0.12260536398467432,23.83,199.0,0.0,0.7839195979899497,0.21608040201005024,26.602,MIN,Regular,
641941,"Pagán, Emilio",2023,398,0.08793969849246232,0.8894472361809045,0.022613065326633167,17.627,259.0,0.13513513513513514,0.8455598455598455,0.019305019305019305,16.811,139.0,0.0,0.9712230215827338,0.02877697841726619,19.073,MIN,Regular,
641941,"Pagán, Emilio",2020,165,0.0,0.8727272727272727,0.12727272727272726,25.089,123.0,0.0,0.8943089430894309,0.10569105691056911,23.96,42.0,0.0,0.8095238095238095,0.19047619047619047,26.548,SD,Regular,
641941,"Pagán, Emilio",2021,453,0.0,0.7924944812362031,0.20750551876379691,25.328,310.0,0.0,0.9032258064516129,0.0967741935483871,24.17,143.0,0.0,0.5524475524475524,0.44755244755244755,29.153,SD,Regular,
669467,"Pallante, Andre",2023,495,0.006060606060606061,0.9818181818181818,0.012121212121212121,19.273,254.0,0.011811023622047244,0.9763779527559056,0.011811023622047244,17.885,241.0,0.0,0.9875518672199171,0.012448132780082987,20.754,STL,Regular,
669467,"Pallante, Andre",2024,834,0.03836930455635491,0.9484412470023981,0.013189448441247002,18.757,549.0,0.058287795992714025,0.9289617486338798,0.012750455373406194,17.447,285.0,0.0,0.9859649122807017,0.014035087719298246,21.249,STL,Regular,
669467,"Pallante, Andre",2022,828,0.01932367149758454,0.9166666666666666,0.0640096618357488,22.064,505.0,0.031683168316831684,0.9504950495049505,0.01782178217821782,19.249,323.0,0.0,0.8637770897832817,0.13622291021671826,26.069,STL,Regular,
660600,"Paredes, Enoli",2020,176,0.028409090909090908,0.9488636363636364,0.022727272727272728,20.885,71.0,0.07042253521126761,0.9154929577464789,0.014084507042253521,19.715,105.0,0.0,0.9714285714285714,0.02857142857142857,21.668,HOU,Regular,
453284,"Parker, Blake",2020,138,0.0,0.8623188405797102,0.13768115942028986,24.391,59.0,0.0,0.8983050847457628,0.1016949152542373,23.266,79.0,0.0,0.8354430379746836,0.16455696202531644,25.67,PHI,Regular,
680730,"Parker, Mitchell",2024,972,0.05864197530864197,0.9362139917695473,0.0051440329218107,17.625,621.0,0.09017713365539452,0.9066022544283414,0.00322061191626409,17.045,351.0,0.002849002849002849,0.9886039886039886,0.008547008547008548,18.828,WSH,Regular,
672715,"Patiño, Luis",2021,578,0.19204152249134948,0.7820069204152249,0.025951557093425604,18.537,400.0,0.275,0.7175,0.0075,16.855,178.0,0.0056179775280898875,0.9269662921348315,0.06741573033707865,22.596,TB,Regular,
672715,"Patiño, Luis",2020,161,0.16770186335403728,0.7888198757763976,0.043478260869565216,18.672,94.0,0.2872340425531915,0.7021276595744681,0.010638297872340425,16.558,67.0,0.0,0.9104477611940298,0.08955223880597014,22.561,SD,Regular,
607359,"Patton, Spencer",2021,340,0.13529411764705881,0.8176470588235294,0.047058823529411764,20.144,208.0,0.22115384615384615,0.7692307692307693,0.009615384615384616,17.246,132.0,0.0,0.8939393939393939,0.10606060606060606,25.433,TEX,Regular,
572020,"Paxton, James",2024,764,0.5091623036649214,0.4869109947643979,0.003926701570680628,14.89,518.0,0.7335907335907336,0.2606177606177606,0.005791505791505791,13.889,246.0,0.036585365853658534,0.9634146341463414,0.0,17.873,MLB,Regular,
572020,"Paxton, James",2020,143,0.15384615384615385,0.8251748251748252,0.02097902097902098,18.281,105.0,0.20952380952380953,0.780952380952381,0.009523809523809525,17.039,38.0,0.0,0.9473684210526315,0.05263157894736842,23.128,NYY,Regular,
